,titles,links,percents
320,"PNV llama a buscar ""un formato de recibimientos a presos"" más ""ético"" y EH Bildu arremete contra ""los Uribes vascos""",https://www.europapress.es/nacional/noticia-pnv-llama-buscar-formato-recibimientos-presos-mas-etico-eh-bildu-arremete-contra-uribes-vascos-20191005104906.html,35%
322,"Oxfam denuncia una ""violencia desatada"" contra defensoras de DDHH y reclama a Duque una ""protección efectiva""",https://www.europapress.es/internacional/noticia-oxfam-denuncia-violencia-desatada-contra-defensoras-ddhh-reclama-duque-proteccion-efectiva-20191002104442.html,35%
323,"Las defensoras de DDHH, un ""blanco claro"" de la ola de violencia que azota Colombia",https://www.europapress.es/internacional/noticia-defensoras-ddhh-blanco-claro-ola-violencia-azota-colombia-20191002100707.html,35%
324,Cuatro de cada cinco venezolanos deja el país por la falta de alimentos y medicinas,https://www.europapress.es/internacional/noticia-cuatro-cada-cinco-venezolanos-deja-pais-falta-alimentos-medicinas-20190930175045.html,35%
325,"Arreaza critica el ""descaro"" de Duque, ""subordinado al creador del narco paramilitarismo""",https://www.europapress.es/internacional/noticia-arreaza-critica-descaro-duque-subordinado-creador-narco-paramilitarismo-20190923155444.html,45%
326,La posible alianza de FARC y ELN amenaza con incendiar la frontera entre Colombia y Venezuela,https://www.europapress.es/internacional/noticia-posible-alianza-farc-eln-amenaza-incendiar-frontera-colombia-venezuela-20190922144018.html,35%
327,"Colombia tacha de ""narcoterrorista"", no guerrillera, la fusión de FARC y ELN y asegura que el Estado ""está preparado""",https://www.europapress.es/internacional/noticia-colombia-tacha-narcoterrorista-no-guerrillera-fusion-farc-eln-asegura-estado-preparado-20190918201138.html,35%
328,"La UE ve ""alarmante e inaceptable"" el asesinato de candidatos y líderes sindicales en Colombia",https://www.europapress.es/internacional/noticia-ue-ve-alarmante-inaceptable-asesinato-candidatos-lideres-sindicales-colombia-20190917210900.html,35%
329,La UE destinará 30 millones de euros para impulsar la integración de migrantes venezolanos en Colombia,https://www.europapress.es/internacional/noticia-ue-destinara-30-millones-euros-impulsar-integracion-migrantes-venezolanos-colombia-20190913090515.html,35%
330,Bruselas moviliza otros 10 millones para los refugiados venezolanos y reducir tensiones en países vecinos,https://www.europapress.es/internacional/noticia-bruselas-moviliza-otros-10-millones-refugiados-venezolanos-reducir-tensiones-paises-vecinos-20190912134950.html,35%
331,"Venezuela inicia los ejercicios militares en la frontera contra la ""amenaza real"" de Colombia",https://www.europapress.es/internacional/noticia-venezuela-inicia-ejercicios-militares-frontera-contra-amenaza-real-colombia-20190910185030.html,25%
332,'Timochenko' hace un llamamiento a los exguerrilleros de las FARC a mantener su compromiso con la paz tras la escisión,https://www.europapress.es/internacional/noticia-timochenko-hace-llamamiento-exguerrilleros-mantener-compromiso-paz-escision-20190902220237.html,25%
333,España condena la vuelta a las armas de disidentes de las FARC,https://www.europapress.es/internacional/noticia-espana-condena-vuelta-armas-disidentes-farc-20190829162006.html,35%
334,HRW advierte de que 300.000 civiles están en peligro por enfrentamientos entre grupos armados en el noreste de Colombia,https://www.europapress.es/internacional/noticia-hrw-advierte-300000-civiles-estan-peligro-enfrentamientos-grupos-armados-noreste-colombia-20190809061147.html,35%
335,"La Eurocámara condena la ""feroz"" represión de Maduro y pide sancionar a los responsables de torturas",https://www.europapress.es/internacional/noticia-eurocamara-condena-feroz-represion-maduro-pide-sancionar-responsables-torturas-20190718124300.html,25%
336,"El PE condenará este jueves la ""feroz"" represión de Maduro y pedirá sancionar a los responsables de torturas",https://www.europapress.es/internacional/noticia-pe-condenara-jueves-feroz-represion-maduro-pedira-sancionar-responsables-torturas-20190717141743.html,25%
337,Arreaza asegura que el Gobierno de Colombia utiliza a Venezuela para ocultar sus problemas,https://www.europapress.es/internacional/noticia-arreaza-asegura-gobierno-colombia-utiliza-venezuela-ocultar-problemas-20190717045039.html,35%
